ABANDONED SHIP,MAGIKARP,10-30,TENTACOOL,10-30,TENTACOOL,10-30
ABANDONED SHIP,MAGIKARP,10-30,TENTACOOL,10-30,TENTACOOL,10-30
EVER GRANDE CITY,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
FORTREE CITY,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
LITTLEROOT TOWN,MAGIKARP,10-30,GOLDEEN,10-30,CORPHISH,10-30
METEOR FALLS,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
METEOR FALLS,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
METEOR FALLS,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
METEOR FALLS,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
OLDALE TOWN,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
PACIFIDLOG TOWN,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
PETALBURG CITY,MAGIKARP,10-30,MAGIKARP,10-30,MAGIKARP,10-30
ROUTE 102,MAGIKARP,10-30,GOLDEEN,10-30,CORPHISH,10-30
ROUTE 103,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 104,MAGIKARP,10-30,MAGIKARP,10-30,MAGIKARP,10-30
ROUTE 105,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 106,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 107,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 108,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 109,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 110,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 111,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
ROUTE 114,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
ROUTE 115,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 117,MAGIKARP,10-30,GOLDEEN,10-30,CORPHISH,10-30
ROUTE 118,MAGIKARP,10-30,TENTACOOL,10-30,CARVANHA,10-30
ROUTE 119,MAGIKARP,10-30,TENTACOOL,10-30,CARVANHA,10-30
ROUTE 120,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
ROUTE 121,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 122,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 123,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 124,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 125,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 126,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 127,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 128,MAGIKARP,10-30,LUVDISC,10-30,WAILMER,10-30
ROUTE 129,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 130,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 131,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 132,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 133,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
ROUTE 134,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SAFARI ZONE,MAGIKARP,10-30,GOLDEEN,10-25,GOLDEEN,10-30
SAFARI ZONE,MAGIKARP,10-30,GOLDEEN,10-25,GOLDEEN,10-30
SEAFLOOR CAVERN,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SEAFLOOR CAVERN,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SEAFLOOR CAVERN,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SHOAL CAVE,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SHOAL CAVE,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
SLATEPORT CITY,MAGIKARP,10-30,LUVDISC,10-30,WAILMER,10-30
LILYCOVE CITY,MAGIKARP,10-30,TENTACOOL,10-30,WAILMER,10-30
VICTORY ROAD,MAGIKARP,10-30,GOLDEEN,10-30,BARBOACH,10-30
